Countries,Region,Legal Measures,Technical Measures,Organization Measures,Capacity Development,Cooperation Measures,Tier,Total Score,Assigned Tier
Nepal (Republic of),Asia and the Pacific,19.21,11.09,16.92,13.09,9.45,T3,69.76,Tier 3 – Establishing
New Zealand,Asia and the Pacific,19.47,15.13,17.44,16.14,14.28,T3,82.46,Tier 3 – Establishing
Pakistan,Asia and the Pacific,20,18.21,20,20,18.48,T1,96.69,Tier 1 – Role-modelling
Papua New Guinea,Asia and the Pacific,14.98,9.31,14.65,13.18,10.48,T3,62.6,Tier 3 – Establishing
Philippines,Asia and the Pacific,20,19.11,19.51,17.17,17.7,T2,93.49,Tier 2 – Advancing
Republic of Korea,Asia and the Pacific,20,20,20,20,20,T1,100,Tier 1 – Role-modelling
Samoa,Asia and the Pacific,10.99,4.56,11.36,6.83,9.34,T4,43.08,Tier 4 – Evolving
Singapore,Asia and the Pacific,20,20,20,19.86,20,T1,99.86,Tier 1 – Role-modelling
Solomon Islands,Asia and the Pacific,5.78,1.39,3.9,0.79,5.84,T5,17.7,Tier 5 – Building
Sri Lanka,Asia and the Pacific,19.21,20,16.42,17.11,14.28,T2,87.02,Tier 2 – Advancing
Thailand,Asia and the Pacific,20,20,19.22,20,20,T1,99.22,Tier 1 – Role-modelling
Timor-Leste,Asia and the Pacific,6.22,9,2.9,1.01,6.69,T5,25.82,Tier 4 – Evolving
Tonga,Asia and the Pacific,7.01,6.18,6.59,2.87,11.13,T4,33.78,Tier 4 – Evolving
Tuvalu,Asia and the Pacific,7.28,0,3.57,2.34,7.15,T4,20.34,Tier 4 – Evolving
Vanuatu,Asia and the Pacific,15.63,14.49,17.37,5.62,16.18,T3,69.29,Tier 3 – Establishing
Viet Nam,Asia and the Pacific,20,20,20,19.74,20,T1,99.74,Tier 1 – Role-modelling
Armenia,CIS,17.22,8.69,2.81,10.35,14.74,T4,53.81,Tier 4 – Evolving
Azerbaijan,CIS,20,18.02,18.05,17.69,20,T2,93.76,Tier 2 – Advancing
Belarus,CIS,18.61,2.78,11.97,8.98,19.11,T3,61.45,Tier 3 – Establishing
Kazakhstan,CIS,20,19.38,18.3,16.36,20,T2,94.04,Tier 2 – Advancing
Kyrgyzstan,CIS,16.71,14.87,16.32,5.53,12.16,T3,65.59,Tier 3 – Establishing
Russian Federation,CIS,20,16.59,20,18.77,16.77,T2,92.13,Tier 2 – Advancing
Tajikistan,CIS,13.3,0,3.62,0.35,8.09,T4,25.36,Tier 4 – Evolving
Turkmenistan,CIS,10.12,0,10.67,1.85,3.21,T4,25.85,Tier 4 – Evolving
Uzbekistan,CIS,19.59,16.22,15.75,17.64,20,T2,89.2,Tier 2 – Advancing
Albania,Europe,20,18.38,19.47,12.08,16.58,T2,86.51,Tier 2 – Advancing
Andorra,Europe,18.04,15.3,13.88,11.74,17.7,T3,76.66,Tier 3 – Establishing
Austria,Europe,18.42,18.23,17.56,18.36,16.59,T2,89.16,Tier 2 – Advancing
Belgium,Europe,20,18.11,19.51,19.19,20,T1,96.81,Tier 1 – Role-modelling
Bosnia and Herzegovina,Europe,12.08,2.72,5.95,4.41,8.6,T4,33.76,Tier 4 – Evolving
Bulgaria,Europe,20,14.49,17.24,11.7,11.13,T3,74.56,Tier 3 – Establishing
Croatia,Europe,20,17.39,19.34,16.74,14.28,T2,87.75,Tier 2 – Advancing
Cyprus,Europe,20,19.38,20,18.64,20,T1,98.02,Tier 1 – Role-modelling
Czech Republic,Europe,20,15.3,20,18.36,14.28,T2,87.94,Tier 2 – Advancing
Denmark,Europe,20,20,20,20,20,T1,100,Tier 1 – Role-modelling
Estonia,Europe,20,15.3,20,19.74,20,T1,95.04,Tier 1 – Role-modelling
Finland,Europe,20,20,20,20,20,T1,100,Tier 1 – Role-modelling
France,Europe,20,18.98,20,20,20,T1,98.98,Tier 1 – Role-modelling
Georgia,Europe,20,19.25,16.35,16.32,20,T2,91.92,Tier 2 – Advancing
Germany,Europe,20,17.93,20,19.92,15.99,T1,93.84,Tier 2 – Advancing
Greece,Europe,20,20,19.22,17.89,20,T1,97.11,Tier 1 – Role-modelling
Hungary,Europe,20,19.4,18.96,12.63,17.74,T2,88.73,Tier 2 – Advancing
